VERTICES 28001
45.278 -0.019 23.575
47.012 0.017 24.695
66.296 -49.455 16.991
65.950 -47.258 16.190
58.818 -19.942 3.223
59.020 -20.527 3.760
-31.281 -53.087 2.365
-32.267 -53.163 -1.209
-50.364 10.142 -2.712
-50.457 8.607 -5.834
78.828 -50.633 -3.325
79.296 -48.524 -4.342
77.371 -50.118 -5.326
51.774 35.060 18.894
53.576 33.240 20.205
9.729 -34.961 6.312
9.751 -34.377 8.836
60.095 -5.110 -0.623
62.018 -3.406 0.374
55.197 -32.213 -5.783
52.596 -32.354 -6.289
69.892 -20.842 -9.366
86.547 -6.212 -2.938
85.935 -5.885 -0.960
70.262 -20.287 -5.434
71.135 -20.207 -4.983
43.568 16.388 24.768
45.085 15.485 25.181
58.081 8.918 -3.404
57.284 10.903 -3.546
21.351 -4.902 7.136
20.007 -6.257 3.960
-55.147 6.241 2.161
-56.616 5.140 1.756
43.736 -13.556 26.356
65.606 5.524 1.243
62.816 35.219 11.270
61.580 35.118 10.566
62.875 34.750 10.602
35.231 -11.996 1.630
83.072 1.687 -1.163
33.662 -25.918 -10.767
41.354 -54.223 -14.121
46.850 -46.966 -21.727
45.611 -44.796 -21.125
13.357 -15.262 20.535
16.775 -12.337 18.030
4.535 -12.698 25.385
-10.161 26.493 8.404
-10.716 28.006 6.310
-43.202 6.090 15.590
-44.870 -47.936 -39.445
-45.696 -49.494 -38.534
-12.204 -24.965 -13.373
-12.089 -21.856 -11.659
9.098 17.514 24.180
-32.839 -37.136 27.474
-52.334 -51.539 8.662
-54.196 -50.598 8.523
42.604 14.344 -0.617
33.993 -10.575 3.845
37.292 -6.761 2.177
-39.650 13.630 15.907
-28.838 58.809 -3.429
-27.731 59.409 -1.023
-29.090 58.882 -1.191
-19.703 9.233 1.322
-20.623 6.987 2.342
-19.110 7.775 4.994
-49.685 4.117 -10.231
-44.922 4.619 -11.263
-42.486 47.182 -14.871
-42.732 47.307 -14.905
-11.921 23.320 6.104
-13.191 23.058 3.438
-43.885 53.918 18.013
-42.150 54.389 18.578
-71.043 44.447 4.010
-57.115 -51.355 -6.623
-58.492 -49.287 -8.855
-58.813 -50.082 -5.703
-53.153 -50.786 -13.669
-51.632 -49.394 -16.099
