VERTICES 2805
59.190 -20.986 2.943
64.255 34.660 11.358
33.929 -13.518 2.525
36.164 -24.397 -15.902
-9.913 24.514 6.602
45.514 15.147 -2.970
-46.534 7.318 -8.815
-38.602 46.342 -14.061
-39.525 53.914 18.668
82.841 0.355 -4.063
67.698 -49.619 15.622
-51.936 -28.529 22.897
-41.879 32.687 -13.433
-75.268 36.452 -8.914
-55.430 24.480 -5.105
-78.059 56.406 -4.532
46.355 -35.776 -30.717
-3.884 3.827 15.608
-23.023 -22.918 13.618
-11.171 43.803 7.598
23.377 -38.988 11.453
46.179 -50.386 16.227
-1.364 -49.660 8.822
-5.059 -42.577 23.945
-35.549 -33.171 -30.507
-26.690 -16.629 -0.829
-30.156 -13.178 7.171
-27.965 42.782 -7.918
-24.974 -35.150 -31.338
84.838 -3.733 2.609
78.168 22.582 1.945
-35.647 26.427 3.601
-27.673 -40.643 -35.033
-33.470 -48.641 -20.026
37.346 -44.633 -25.739
-51.438 22.838 11.467
-34.776 58.485 -6.390
-42.150 58.364 -7.023
35.467 -40.565 30.815
36.975 -25.304 -10.658
-62.600 -40.369 6.659
-38.171 -22.337 16.230
82.232 23.650 0.392
94.370 23.796 2.565
83.271 10.648 9.558
-10.748 35.668 -4.077
85.277 -18.520 -19.358
53.260 -24.875 16.616
78.207 26.213 8.726
72.725 8.569 10.830
-4.016 3.845 1.165
-45.172 -51.008 -16.817
34.782 -48.287 -25.362
24.839 -44.758 -19.278
-17.338 48.568 19.976
-17.692 64.509 15.635
2.303 -38.633 -21.263
81.545 -41.884 -7.148
-65.110 54.978 0.279
1.903 -51.667 -26.570
35.019 21.507 26.004
38.174 16.365 23.785
-52.540 -49.680 11.534
-60.769 -50.713 13.044
-64.313 -42.001 -3.721
1.341 43.090 0.897
33.308 -8.567 9.998
-0.961 -55.567 -18.805
-9.497 -51.922 -12.153
-2.764 -50.190 -13.464
56.611 31.901 3.879
64.762 9.736 -0.442
78.055 2.035 10.154
50.375 -41.562 -22.965
73.894 19.985 9.974
-4.810 49.654 4.432
53.916 -10.185 -20.322
-32.587 -1.379 -10.673
-14.405 63.040 10.392
2.483 65.857 18.220
-49.047 -41.832 -31.681
-7.600 -21.220 26.260
-75.955 30.791 -24.319
-5.250 -49.990 14.089
-2.946 -37.023 -23.631
60.786 0.378 23.304
60.107 8.318 24.164
40.946 42.370 12.400
52.647 40.557 14.203
61.095 -53.919 11.216
69.577 -31.105 -9.050
41.576 -37.151 -29.778
52.663 -37.927 27.531
34.772 -45.476 -20.584
-71.139 52.507 -12.181
-15.805 65.333 -2.511
-10.689 55.368 -3.036
-48.612 -43.260 -20.713
40.035 4.278 11.282
-16.323 -53.209 32.001
-23.739 59.515 25.876
-54.026 30.718 9.539
-13.942 36.004 23.814
-10.691 31.330 32.133
-39.828 39.963 9.177
-76.143 33.589 -4.495
23.440 -32.128 11.825
-4.069 -52.680 -5.846
41.557 -21.040 -18.781
-39.153 17.201 13.261
-27.080 -37.816 -32.758
-22.881 -53.509 -6.481
